# This file is generated by MACS version 1.4.0rc2 20110214
# ARGUMENTS LIST:
# name = LoVo_GATA2
# format = BAM
# ChIP-seq file = /wrk2/martin/aligned/merged//LoVo_GATA2_Goat.bam
# control file = /wrk2/martin/aligned/merged/LoVo_IgG_Goat.bam
# effective genome size = 2.75e+09
# band width = 300
# model fold = 2,6
# pvalue cutoff = 1.00e-05
# Small dataset will be scaled towards larger dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps

# tag size is determined as 36 bps
# total tags in treatment: 12954183
# tags after filtering in treatment: 9568998
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.26
# total tags in control: 52744122
# tags after filtering in control: 37934038
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.28
# d = 307
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
1	1087599	1088862	1264	637	17	173.13	3.00	25.88	25.52
1	1552805	1553703	899	226	12	282.54	4.34	26.54	22.64
1	1561860	1562770	911	549	12	383.97	7.49	27.12	22.48
1	2076333	2077527	1195	416	20	200.84	2.23	25.20	23.97
1	2427698	2428991	1294	458	19	385.67	3.66	28.07	22.48
1	2529315	2530261	947	668	14	316.76	3.72	22.95	22.48
1	2618817	2619638	822	294	12	143.84	2.23	29.95	29.95
1	3218869	3219787	919	620	13	209.93	2.51	25.00	23.97
1	3763709	3764411	703	257	14	185.14	2.17	25.04	24.88
1	3774624	3775555	932	393	13	181.34	2.71	25.64	25.37
1	3775754	3776656	903	301	12	208.68	2.53	25.28	23.97
1	4606766	4607739	974	305	14	260.20	3.29	26.27	22.64
1	4709354	4710514	1161	549	19	281.49	2.51	27.11	22.64
1	6156605	6157593	989	691	13	184.67	2.35	25.00	24.96
1	7551396	7552513	1118	480	14	159.43	2.51	26.81	26.46
1	11718299	11719928	1630	720	34	247.05	2.02	23.16	22.67
1	12013168	12014080	913	367	12	206.77	3.26	25.27	23.97
1	16336720	16337576	857	281	12	137.29	2.01	31.84	31.84
1	16420265	16421289	1025	515	16	195.67	2.16	24.63	23.97
1	16660619	16661492	874	576	12	140.77	2.33	31.25	31.25
1	17186630	17187549	920	623	13	243.40	3.00	24.29	22.67
1	17392966	17393803	838	533	13	172.86	2.33	25.80	25.52
1	18059430	18060609	1180	577	17	253.85	2.57	24.28	22.64
1	18583916	18584824	909	290	13	185.82	2.71	25.24	24.88
1	20652806	20654062	1257	520	19	241.51	2.33	23.96	22.67
1	21813673	21814728	1056	527	14	230.47	3.09	23.08	22.67
1	22857550	22858772	1223	553	21	282.47	2.17	26.38	22.64
1	25071592	25072287	696	356	12	174.17	2.28	25.99	25.52
1	25197493	25198398	906	439	13	198.92	2.62	25.39	23.97
1	27740719	27741762	1044	429	14	172.01	2.51	25.83	25.52
1	28160589	28161325	737	402	13	209.48	2.76	24.94	23.97
1	28326555	28327401	847	576	12	170.69	2.44	26.10	25.97
1	29481005	29481799	795	365	12	178.48	2.40	25.62	25.52
1	29591990	29592864	875	496	13	178.33	2.00	25.54	25.52
1	30733761	30734851	1091	641	16	273.41	2.93	27.47	22.64
1	31032815	31033677	863	577	13	144.86	2.04	29.57	29.57
1	31152853	31153716	864	425	16	193.48	2.16	24.82	23.97
1	31991315	31992361	1047	613	13	160.92	2.17	26.48	26.33
1	32009060	32009967	908	539	12	155.29	2.38	26.54	26.46
1	32572004	32573497	1494	769	27	312.79	2.17	23.02	22.48
1	32963379	32964563	1185	634	16	213.87	2.17	24.64	23.97
1	33134058	33134717	660	280	12	160.36	2.18	26.41	26.41
1	36902708	36903588	881	514	12	164.21	2.17	26.58	26.33
1	36999966	37001028	1063	453	15	210.16	2.17	25.06	23.97
1	39422122	39423201	1080	779	15	173.13	2.06	25.84	25.52
1	40103574	40104620	1047	594	16	192.58	2.17	24.43	23.97
1	40202703	40203408	706	413	13	249.21	2.96	23.31	22.67
1	41662749	41663746	998	725	16	230.66	2.22	23.21	22.67
1	41757499	41758464	966	618	14	201.95	2.44	25.10	23.97
1	41765447	41766737	1291	681	20	302.82	2.71	22.70	22.64
1	43302798	43303656	859	527	15	255.26	2.44	24.79	22.64
1	43475287	43476126	840	360	13	160.42	2.17	26.47	26.41
1	44307406	44308238	833	533	13	206.32	2.78	25.11	23.97
1	48132523	48133469	947	650	15	175.49	2.04	25.84	25.52
1	48463679	48464566	888	403	14	210.41	2.87	25.17	23.97
1	50587450	50588476	1027	606	16	227.69	2.00	23.23	23.10
1	51528429	51529460	1032	550	17	242.08	2.14	24.38	22.67
1	53333234	53334759	1526	953	26	321.84	2.04	23.28	22.48
1	53537730	53539017	1288	716	19	240.82	2.62	23.89	22.67
1	53929161	53930364	1204	616	16	217.79	2.53	24.68	23.97
1	64587020	64587926	907	250	12	186.43	2.24	24.88	24.84
1	93417705	93419165	1461	720	29	218.77	2.17	25.00	23.97
1	110464356	110465352	997	302	14	183.54	2.04	24.96	24.96
1	110597263	110598120	858	280	13	194.75	2.42	24.64	23.97
1	148746674	148747530	857	302	12	148.46	2.16	28.19	28.16
1	154198855	154199748	894	639	13	174.53	2.00	25.93	25.52
1	158370256	158371183	928	305	13	155.17	2.56	26.52	26.46
1	161869594	161870511	918	628	12	144.71	2.26	29.64	29.64
1	163852601	163853475	875	580	12	169.49	3.06	26.44	26.13
1	166332295	166333151	857	524	12	166.03	2.14	26.77	26.33
1	167856058	167856926	869	603	13	172.87	2.17	25.84	25.52
1	188744574	188745493	920	300	13	144.96	2.17	29.49	29.49
1	192672444	192673455	1012	391	13	166.82	2.17	26.91	26.33
1	199243113	199243868	756	287	13	219.65	2.99	25.07	23.97
1	201124055	201125332	1278	744	30	214.95	2.27	25.12	23.97
1	203016505	203017353	849	270	12	157.20	2.26	26.96	26.46
1	205733127	205734068	942	297	13	150.21	2.06	27.75	27.75
1	206431873	206432778	906	419	13	174.91	2.29	25.97	25.52
1	222689046	222690058	1013	286	20	232.61	2.14	24.07	22.67
1	226324433	226325365	933	304	13	212.56	2.58	24.24	23.97
1	226405483	226406469	987	718	13	157.30	2.00	26.99	26.46
10	347045	348190	1146	559	14	166.52	2.94	26.97	26.33
10	1092651	1093256	606	303	12	163.48	2.17	26.47	26.33
10	1206686	1207602	917	618	13	217.64	2.93	24.62	23.97
10	1476228	1477133	906	623	12	158.30	2.15	26.62	26.46
10	1537065	1537969	905	295	12	165.36	2.25	26.60	26.33
10	1712048	1712943	896	298	12	178.86	2.71	25.58	25.51
10	14919333	14920654	1322	698	25	214.42	2.04	24.76	23.97
10	42903247	42904063	817	354	12	202.64	2.53	25.20	23.97
10	47080891	47082016	1126	440	16	207.60	2.26	25.76	23.97
10	48093060	48094046	987	646	13	137.77	2.01	31.93	31.77
10	49686827	49688015	1189	651	15	214.61	3.41	24.82	23.97
10	72461748	72462683	936	661	13	166.47	2.26	26.93	26.33
10	73702340	73705639	3300	1450	102	732.69	2.07	100	22.48
10	79100509	79101335	827	409	12	178.88	2.23	25.70	25.51
10	79613710	79614603	894	591	12	148.91	2.26	28.12	28.11
10	79735547	79736526	980	633	16	185.19	2.16	25.08	24.88
10	80330973	80331863	891	604	12	154.45	2.33	26.65	26.53
10	83673217	83674062	846	348	12	161.57	2.31	26.67	26.33
10	87866365	87867432	1068	495	19	379.64	3.62	27.87	22.48
10	88717210	88718788	1579	769	26	310.05	2.04	22.66	22.48
10	88802382	88803231	850	258	13	252.11	2.53	24.00	22.64
10	95670811	95671655	845	578	13	173.93	2.12	26.02	25.52
10	101253267	101254045	779	488	13	162.30	2.04	27.02	26.33
10	102662586	102663678	1093	361	20	156.20	2.08	26.75	26.46
10	104144109	104145238	1130	570	18	182.78	2.17	25.04	25.04
10	104484809	104485746	938	390	13	174.39	2.10	25.82	25.52
10	104584030	104585391	1362	632	20	168.93	2.23	26.30	26.13
10	120031962	120032930	969	372	15	236.67	2.53	24.34	22.67
10	120234979	120235839	861	288	15	221.92	2.33	24.60	23.97
10	120504500	120505583	1084	377	18	157.90	2.17	26.98	26.46
10	121040698	121041859	1162	537	20	332.78	2.99	25.24	22.48
10	121214571	121215479	909	281	12	146.27	2.26	28.72	28.69
10	122827792	122828711	920	624	14	161.73	2.30	26.71	26.33
10	122836725	122837690	966	707	14	159.98	2.17	26.48	26.45
10	129485059	129486165	1107	732	21	230.10	2.44	22.94	22.67
10	129755165	129755850	686	283	12	158.10	2.04	26.93	26.46
10	130152399	130153407	1009	443	52	617.42	2.92	50.00	22.48
10	130159548	130160640	1093	430	16	270.69	3.55	27.23	22.64
10	130305803	130306731	929	668	13	181.92	2.44	25.15	25.11
10	132478358	132479781	1424	544	23	269.66	2.44	26.80	22.64
10	133372035	133372953	919	586	12	171.58	2.07	25.52	25.52
10	133943294	133944305	1012	648	16	377.12	3.72	25.76	22.48
10	134024056	134025350	1295	623	15	170.55	2.99	26.07	25.97
10	134078351	134079397	1047	500	15	182.03	2.09	25.19	25.11
10	134602056	134602969	914	618	12	165.16	2.55	26.66	26.33
10	134775042	134775936	895	299	13	222.19	3.26	24.53	23.97
10	134793714	134794629	916	617	12	206.20	3.62	24.89	23.97
10	134872171	134873093	923	639	14	247.33	2.61	23.33	22.67
10	134906154	134907070	917	617	14	295.12	3.66	24.83	22.64
10	135000961	135002421	1461	853	22	276.90	2.56	26.97	22.64
11	257550	258482	933	659	15	220.62	2.00	24.47	23.97
11	605153	606485	1333	782	19	166.47	2.17	26.90	26.33
11	631951	633660	1710	783	43	678.82	4.16	60.00	22.48
11	1022068	1023226	1159	563	18	235.90	2.09	23.87	22.67
11	1720230	1721142	913	506	12	159.75	2.19	26.77	26.46
11	2174294	2175104	811	295	12	164.66	2.00	26.65	26.33
11	3083079	3083951	873	350	12	165.70	2.17	26.67	26.33
11	9070091	9071006	916	682	12	142.64	2.22	30.33	30.33
11	11216923	11217790	868	518	12	159.97	2.35	26.45	26.45
11	15884499	15885474	976	619	13	167.41	2.36	26.60	26.33
11	22442317	22443193	877	604	13	192.28	2.71	24.22	23.97
11	33628219	33629151	933	670	13	131.99	2.04	33.78	33.78
11	33756036	33757330	1295	694	17	150.91	2.17	27.42	27.42
11	44967174	44968020	847	417	12	157.58	2.00	27.08	26.46
11	45161302	45162430	1129	563	15	142.05	2.04	30.47	30.47
11	45587065	45587916	852	561	13	216.99	2.71	24.43	23.97
11	46354007	46354889	883	580	12	210.66	2.51	24.89	23.97
11	47335814	47337039	1226	548	18	177.30	2.30	26.12	25.52
11	56834283	56835125	843	300	12	140.93	2.25	31.21	31.18
11	60252329	60253173	845	277	14	175.06	2.06	25.76	25.52
11	61761113	61761984	872	577	13	193.32	2.71	24.78	23.97
11	64325387	64326285	899	603	12	160.91	2.17	26.45	26.33
11	64635360	64636520	1161	701	20	208.11	2.74	25.66	23.97
11	65438950	65439777	828	527	13	161.76	2.37	26.74	26.33
11	65441365	65442113	749	470	13	192.94	2.09	24.56	23.97
11	66116715	66118055	1341	574	28	253.36	2.21	24.18	22.64
11	67110284	67111343	1060	755	16	176.55	2.04	25.75	25.52
11	67268796	67269884	1089	423	16	214.83	2.51	25.06	23.97
11	67562062	67563493	1432	714	27	348.55	2.68	25.00	22.48
11	68879601	68880726	1126	487	15	169.16	2.34	26.34	26.13
11	69119701	69120713	1013	563	14	188.08	2.38	24.43	24.39
11	69164602	69165643	1042	754	15	140.32	2.42	31.62	31.62
11	69766159	69767099	941	658	15	264.48	2.48	26.57	22.64
11	70382468	70383574	1107	731	16	211.27	2.51	24.83	23.97
11	70512195	70513177	983	621	14	272.77	4.32	27.72	22.64
11	70869237	70870183	947	289	14	190.37	2.26	24.24	24.20
11	76086770	76087475	706	302	12	194.46	2.35	25.09	23.97
11	92077961	92078961	1001	567	24	305.35	2.07	23.36	22.64
11	102106238	102107482	1245	770	19	169.72	2.06	26.22	26.13
11	124219615	124220529	915	274	13	170.44	2.26	26.04	25.97
11	125909885	125910797	913	611	13	200.81	2.37	25.15	23.97
11	126238120	126238995	876	572	13	208.42	3.26	25.77	23.97
11	134374398	134375335	938	511	13	166.10	2.51	26.83	26.33
12	150593	151564	972	524	14	199.15	2.96	25.05	23.97
12	151578	152478	901	511	13	191.98	2.51	24.05	23.97
12	1571816	1572975	1160	397	20	195.46	2.12	24.49	23.97
12	1911924	1912832	909	581	18	262.94	2.24	26.32	22.64
12	2868491	2871164	2674	1802	63	571.88	2.71	50.00	22.48
12	4935373	4936385	1013	413	14	161.31	2.06	26.55	26.33
12	5413739	5414592	854	566	12	176.39	2.27	25.96	25.52
12	5637700	5638575	876	304	12	136.02	2.04	32.27	32.27
12	6449521	6450976	1456	544	35	435.52	3.26	41.94	22.48
12	7200226	7201401	1176	632	15	191.28	2.19	24.10	24.02
12	7271246	7272169	924	280	13	123.79	2.30	39.77	39.77
12	34279792	34281023	1232	597	15	126.29	2.24	38.10	38.06
12	34346758	34347634	877	304	12	171.97	2.55	25.79	25.52
12	46290414	46291406	993	371	17	241.06	2.28	24.05	22.67
12	47809782	47812069	2288	1404	66	347.19	2.05	24.18	22.48
12	47976383	47977223	841	559	12	146.84	2.09	28.73	28.69
12	50595010	50595964	955	368	15	185.28	2.37	25.12	24.88
12	50802486	50803512	1027	415	14	137.63	2.04	31.84	31.77
12	51039546	51040442	897	295	14	197.85	2.71	25.29	23.97
12	51284601	51285455	855	515	12	157.31	2.02	27.02	26.46
12	52843503	52844497	995	641	19	267.42	2.65	27.23	22.64
12	54326190	54327569	1380	1002	25	330.53	2.24	25.00	22.48
12	54373855	54375001	1147	605	17	206.30	2.04	25.05	23.97
12	54922533	54923431	899	302	12	179.86	2.13	25.48	25.44
12	55165921	55166999	1079	410	16	170.37	2.01	26.00	25.97
12	55167033	55169094	2062	699	38	269.13	2.26	26.53	22.64
12	55774505	55775381	877	302	13	155.33	2.42	26.57	26.46
12	55852613	55853948	1336	787	20	232.83	3.04	24.15	22.67
12	55855266	55856161	896	613	13	174.13	2.00	25.92	25.52
12	56158819	56159812	994	708	15	207.49	2.00	25.65	23.97
12	57228139	57229411	1273	712	16	125.46	2.07	38.80	38.80
12	63206881	63207638	758	299	13	172.61	2.31	25.66	25.52
12	65375373	65376615	1243	607	16	149.66	2.09	28.03	28.00
12	68264801	68266068	1268	798	34	364.31	2.68	26.76	22.48
12	70797988	70798938	951	269	14	189.56	2.26	24.54	24.38
12	74687258	74688242	985	277	21	276.77	2.06	26.82	22.64
12	92269833	92271040	1208	587	24	292.09	2.40	25.17	22.64
12	94754520	94755944	1425	743	24	392.59	3.56	31.37	22.48
12	103350204	103351140	937	472	17	253.13	2.94	23.79	22.64
12	104414309	104415426	1118	626	13	88.07	2.01	85.23	85.23
12	106140762	106141578	817	406	12	176.68	2.17	25.78	25.52
12	106266400	106267380	981	547	15	156.98	2.11	26.87	26.46
12	107101475	107102779	1305	602	16	136.61	2.05	31.88	31.84
12	107280540	107282149	1610	603	24	300.17	2.11	23.78	22.64
12	107307124	107308029	906	558	14	171.76	2.17	25.66	25.52
12	107495971	107497555	1585	1124	29	354.71	2.29	26.25	22.48
12	108557586	108558798	1213	536	23	386.65	3.26	28.57	22.48
12	109293739	109294801	1063	617	17	183.82	2.27	25.12	24.96
12	109852272	109853334	1063	299	16	216.77	2.22	24.50	23.97
12	110627349	110628167	819	297	12	130.15	2.04	34.71	34.71
12	110684314	110685674	1361	612	20	188.97	2.05	24.71	24.38
12	111713429	111714484	1056	691	17	231.65	2.33	23.64	22.67
12	112050000	112051267	1268	649	18	206.03	2.47	24.84	23.97
12	112085697	112086605	909	298	14	236.70	2.74	24.42	22.67
12	112237575	112238385	811	363	13	186.49	2.19	24.64	24.64
12	112511301	112512191	891	405	12	176.73	2.37	25.93	25.52
12	116165119	116166385	1267	603	20	269.31	2.36	26.67	22.64
12	116243927	116244941	1015	626	20	307.72	2.17	23.66	22.64
12	116588926	116589779	854	433	12	123.80	2.04	39.81	39.77
12	118444643	118445574	932	538	13	154.43	2.33	26.62	26.53
12	120458578	120459527	950	676	17	211.37	2.30	24.88	23.97
12	120741449	120742304	856	267	12	216.09	2.51	24.75	23.97
12	120745675	120746612	938	530	14	219.50	2.59	25.19	23.97
12	120846781	120847881	1101	572	15	172.14	2.56	25.86	25.52
12	121910729	121911918	1190	505	17	221.18	2.26	24.54	23.97
12	122037797	122038636	840	553	12	182.10	2.31	25.27	25.11
12	122494701	122495521	821	348	12	139.77	2.17	31.78	31.75
12	123076542	123077401	860	592	14	228.17	2.48	22.92	22.79
12	123320266	123321332	1067	570	14	143.40	2.19	30.16	30.16
12	123418427	123419556	1130	477	20	277.81	2.17	26.86	22.64
12	124003093	124004058	966	587	14	215.45	2.33	24.57	23.97
12	124139675	124140621	947	642	17	212.09	2.11	24.42	23.97
12	124347168	124348236	1069	429	15	191.14	2.49	24.10	24.02
12	124565704	124566984	1281	731	20	196.98	2.35	25.14	23.97
