# This file is generated by MACS version 1.4.0rc2 20110214
# ARGUMENTS LIST:
# name = LoVo_GATA4
# format = BAM
# ChIP-seq file = /wrk2/martin/aligned/merged//LoVo_GATA4_Rabbit.bam
# control file = /wrk2/martin/aligned/merged/LoVo_IgG_Rabbit.bam
# effective genome size = 2.75e+09
# band width = 300
# model fold = 2,6
# pvalue cutoff = 1.00e-05
# Small dataset will be scaled towards larger dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps

# tag size is determined as 36 bps
# total tags in treatment: 12737607
# tags after filtering in treatment: 12425797
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.02
# total tags in control: 25659069
# tags after filtering in control: 22736096
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.11
# d = 200
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
1	559320	559986	667	468	68	101.77	3.23	0.12	0.11
1	845264	846023	760	369	13	65.85	5.00	0.36	0.36
1	865349	865851	503	257	11	96.82	5.71	0.17	0.16
1	891504	892096	593	415	11	84.40	4.29	0.18	0.17
1	931349	932593	1245	583	35	137.76	3.24	0.08	0.05
1	994298	994741	444	193	13	135.89	8.14	0.08	0.05
1	1041188	1041827	640	321	15	156.54	7.27	0.10	0.05
1	1056980	1057548	569	294	11	99.20	5.83	0.15	0.14
1	1061509	1062436	928	511	25	231.16	8.57	0.22	0.05
1	1082578	1083142	565	381	12	122.99	9.00	0.06	0.05
1	1084466	1085203	738	347	14	75.45	4.74	0.26	0.24
1	1087872	1088779	908	506	21	78.14	3.00	0.20	0.20
1	1156705	1157366	662	399	13	112.15	5.93	0.10	0.09
1	1197544	1198114	571	376	14	84.71	5.45	0.18	0.17
1	1199483	1200150	668	318	13	109.88	6.67	0.09	0.09
1	1226698	1227288	591	406	11	113.71	6.25	0.10	0.09
1	1232985	1233596	612	185	12	114.68	5.88	0.10	0.09
1	1324470	1325149	680	341	14	152.16	9.96	0.10	0.05
1	1436836	1437524	689	305	12	77.40	4.82	0.23	0.23
1	1500003	1500482	480	169	14	73.09	3.00	0.24	0.24
1	1539226	1539809	584	192	11	67.40	4.44	0.31	0.31
1	1540605	1541231	627	417	12	89.59	5.15	0.18	0.17
1	1645486	1645978	493	194	14	88.72	4.52	0.20	0.17
1	1684757	1685340	584	388	11	97.20	6.67	0.17	0.16
1	1700087	1701054	968	503	22	127.50	5.32	0.07	0.05
1	1780474	1781136	663	290	15	92.50	4.00	0.19	0.17
1	1840543	1841200	658	425	14	80.70	3.50	0.19	0.18
1	1865112	1865847	736	311	17	107.68	3.50	0.13	0.11
1	2150323	2150930	608	299	12	85.42	5.41	0.18	0.17
1	2177766	2178356	591	400	11	53.10	3.18	1.58	1.57
1	2257314	2257883	570	197	11	121.48	8.86	0.06	0.05
1	2333331	2334281	951	586	21	138.59	4.55	0.08	0.05
1	2447175	2447970	796	371	15	91.70	5.36	0.19	0.17
1	2496731	2497581	851	374	20	101.02	4.58	0.11	0.11
1	3093787	3094383	597	402	11	117.76	7.75	0.05	0.05
1	3156453	3157262	810	414	14	105.16	8.10	0.12	0.11
1	3259305	3259840	536	264	12	115.01	7.76	0.05	0.05
1	3360666	3361194	529	189	11	82.97	5.00	0.17	0.17
1	5974809	5975685	877	453	21	187.99	9.70	0.15	0.05
1	6008437	6009030	594	444	11	59.04	4.00	0.81	0.81
1	6083510	6083997	488	199	11	108.62	6.45	0.09	0.09
1	6116107	6116801	695	308	12	79.46	5.00	0.18	0.18
1	6166874	6167467	594	404	11	59.04	3.00	0.81	0.81
1	6181642	6182570	929	653	24	99.77	3.33	0.15	0.14
1	6199589	6200180	592	354	11	52.99	3.64	1.63	1.63
1	6402150	6402769	620	253	12	83.92	4.73	0.18	0.17
1	6458994	6459783	790	362	24	180.78	8.39	0.14	0.05
1	6472880	6473564	685	301	13	83.36	5.62	0.18	0.17
1	6562382	6562960	579	189	12	105.91	6.67	0.13	0.11
1	6607284	6607894	611	268	13	98.29	5.33	0.18	0.16
1	6767503	6768273	771	456	18	104.96	4.82	0.12	0.11
1	6980876	6981456	581	293	12	53.44	3.73	1.53	1.53
1	7664976	7665532	557	235	12	96.63	6.43	0.17	0.16
1	7943797	7944602	806	498	25	121.22	3.44	0.06	0.05
1	8391326	8391921	596	178	11	50.83	2.65	2.18	2.17
1	8394793	8395581	789	604	22	114.19	3.93	0.10	0.09
1	8397458	8398115	658	468	12	51.22	3.64	2.11	2.11
