# This file is generated by MACS version 1.4.0rc2 20110214
# ARGUMENTS LIST:
# name = LoVo_GATA1
# format = BAM
# ChIP-seq file = /wrk2/martin/batch2/aligned/merged//LoVo_GATA1_Rabbit.bam
# control file = /wrk2/martin/batch1/aligned/merged/LoVo_IgG_Rabbit.bam
# effective genome size = 2.75e+09
# band width = 300
# model fold = 2,6
# pvalue cutoff = 1.00e-05
# Small dataset will be scaled towards larger dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps

# tag size is determined as 33 bps
# total tags in treatment: 10644150
# tags after filtering in treatment: 10119352
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.05
# total tags in control: 25659069
# tags after filtering in control: 22736096
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.11
# d = 258
chr	start	end	length	summit	tags	-10*log10(pvalue)	fold_enrichment	FDR(%)
1	559410	560090	681	379	69	204.53	2.64	3.28	1.44
1	1580267	1580744	478	239	12	121.80	4.23	2.02	1.44
1	4104157	4104952	796	470	14	113.14	3.53	1.87	1.44
1	4395402	4395946	545	297	11	118.54	5.31	1.99	1.44
1	4633964	4634549	586	339	14	171.86	7.00	2.92	1.44
1	5053054	5053776	723	410	11	59.76	2.47	1.88	1.88
1	6057880	6059345	1466	709	69	1165.34	25.17	0.00	0.00
1	6585674	6586527	854	614	15	115.88	3.45	1.97	1.44
1	7242247	7242964	718	505	12	63.69	2.58	1.72	1.71
1	8026149	8027066	918	333	20	174.49	6.53	3.01	1.44
1	8226681	8227394	714	457	11	54.20	2.58	2.39	2.39
1	8241570	8242699	1130	670	22	102.12	3.36	1.69	1.44
1	8398308	8399182	875	373	12	63.25	3.13	1.72	1.71
1	8441473	8442217	745	215	11	56.15	2.08	2.15	2.15
1	8660252	8660962	711	250	11	76.96	3.45	1.47	1.44
1	8695290	8696148	859	516	14	91.34	2.71	1.65	1.44
1	9097958	9098794	837	580	21	262.92	9.19	3.22	1.44
1	9410982	9411904	923	686	25	93.33	2.91	1.68	1.44
1	9798596	9799401	806	337	13	76.98	2.82	1.48	1.44
1	9924972	9925718	747	336	14	59.41	2.18	1.95	1.93
1	10087358	10088210	853	613	15	75.97	2.09	1.46	1.46
1	10686053	10686985	933	483	30	419.21	9.82	2.42	1.44
1	10761003	10761757	755	375	13	86.77	3.29	1.65	1.44
1	11245077	11245865	789	312	17	133.73	4.93	2.09	1.44
1	11709451	11710490	1040	445	18	190.66	5.63	3.05	1.44
1	11962578	11963605	1028	359	16	122.44	3.43	2.04	1.44
1	14070389	14071270	882	325	16	125.24	5.17	2.13	1.44
1	15189121	15190161	1041	508	15	138.47	5.72	2.24	1.44
1	15476712	15477523	812	557	12	93.92	4.13	1.66	1.44
1	15601701	15602418	718	371	11	85.98	3.88	1.61	1.44
1	15940114	15940770	657	424	18	139.01	4.71	2.25	1.44
1	16162777	16163781	1005	589	16	68.79	2.09	1.49	1.48
1	16447484	16448423	940	252	16	68.05	2.21	1.50	1.50
1	16798846	16800561	1716	400	33	71.18	2.28	1.57	1.48
1	17464538	17465623	1086	681	33	363.57	9.69	2.50	1.44
1	17741727	17742560	834	363	12	60.16	3.23	1.84	1.83
1	19499257	19500094	838	630	13	138.61	4.68	2.24	1.44
1	19974258	19974938	681	475	12	75.44	3.52	1.50	1.48
1	20027206	20027976	771	257	11	61.36	2.69	1.75	1.74
1	20043808	20044659	852	316	14	117.47	3.43	2.02	1.44
1	20045167	20046476	1310	639	24	149.23	3.52	2.62	1.44
1	20063329	20064234	906	534	16	64.81	2.33	1.70	1.69
1	20141608	20142453	846	328	14	74.62	3.88	1.53	1.48
1	20448347	20449984	1638	974	35	112.41	2.52	1.91	1.44
1	20478831	20479542	712	487	12	69.84	2.41	1.52	1.48
1	20706807	20707576	770	513	14	62.50	2.33	1.73	1.71
1	20867577	20868361	785	277	16	193.28	5.81	3.09	1.44
1	21139965	21140693	729	400	11	92.52	4.25	1.65	1.44
1	21374308	21375015	708	452	11	93.88	4.19	1.66	1.44
1	21567146	21568062	917	400	15	76.75	3.23	1.46	1.44
1	22252587	22253282	696	455	11	50.25	2.09	3.12	3.12
1	22458710	22459550	841	453	19	233.76	10.14	3.20	1.44
1	22650050	22652369	2320	987	380	3100.00	82.56	0.00	0.00
1	23219606	23220277	672	196	11	66.83	2.15	1.60	1.60
1	23225579	23226641	1063	429	23	205.69	5.90	3.30	1.44
1	23258936	23259679	744	512	14	72.15	2.77	1.53	1.48
1	23383746	23384531	786	306	12	80.43	3.45	1.50	1.44
1	23567407	23568479	1073	369	22	120.21	2.49	1.97	1.44
1	23730290	23731039	750	512	13	97.17	3.63	1.68	1.44
1	24573974	24574800	827	233	14	76.83	2.58	1.47	1.44
1	24579705	24581571	1867	610	35	145.97	2.58	2.50	1.44
1	24590128	24591713	1586	625	31	153.10	2.77	2.45	1.44
1	24595372	24596195	824	388	13	74.09	2.79	1.54	1.48
1	25045013	25045775	763	292	12	88.18	3.65	1.67	1.44
1	25661252	25662766	1515	930	26	109.00	3.05	1.80	1.44
1	25866637	25867404	768	525	13	59.67	2.21	1.90	1.89
1	26196536	26197457	922	234	15	103.44	2.92	1.67	1.44
1	26321002	26321705	704	251	13	81.54	2.26	1.55	1.44
1	26323604	26324920	1317	1068	23	110.31	2.98	1.85	1.44
1	26630687	26632375	1689	685	44	177.50	2.40	2.93	1.44
1	27433275	27433878	604	239	12	128.97	4.98	2.14	1.44
1	27688798	27689990	1193	611	24	150.36	4.20	2.64	1.44
1	28134372	28135113	742	513	12	76.27	2.71	1.45	1.44
1	28457183	28458003	821	570	12	53.06	2.91	2.58	2.58
1	28545064	28545816	753	267	12	107.45	3.32	1.80	1.44
1	28564984	28565554	571	314	11	119.44	5.06	2.01	1.44
1	28843205	28843924	720	458	12	52.41	2.25	2.71	2.70
1	29381067	29381826	760	437	11	69.69	2.95	1.51	1.48
1	29409955	29410806	852	534	15	76.09	2.09	1.44	1.44
1	31308765	31310140	1376	936	28	120.85	2.42	1.99	1.44
1	31459531	31460316	786	347	12	63.40	2.82	1.73	1.71
1	31882359	31883594	1236	888	44	217.24	3.10	3.10	1.44
1	32301909	32302676	768	380	11	70.70	3.01	1.56	1.48
1	32559445	32560605	1161	790	26	121.21	2.74	2.00	1.44
1	32639001	32639844	844	322	12	65.38	2.33	1.67	1.67
1	32776798	32777673	876	351	16	68.20	2.07	1.50	1.50
1	32850670	32851440	771	395	12	110.82	4.70	1.86	1.44
1	33094581	33095314	734	369	11	69.16	2.42	1.48	1.48
1	33710215	33710959	745	253	13	62.30	2.21	1.75	1.71
