motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:195038348-195038449	17.47	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr8:143833276-143833377	17.41	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:109117849-109117950	17.05	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:46640147-46640248	16.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:87163029-87163130	16.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:47701434-47701535	16.78	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr18:58285858-58285959	16.67	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr9:19119074-19119175	16.62	tp	1
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr12:12221642-12221743	16.53	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr19:47305543-47305644	16.48	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:46866970-46867071	16.40	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr5:79499727-79499828	16.39	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr10:95728727-95728828	16.39	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr17:17774286-17774387	16.33	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:204150295-204150396	16.29	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:214583977-214584078	16.26	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr2:189412085-189412186	16.25	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr14:59695376-59695477	16.25	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr1:26620997-26621098	16.24	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr6:33746281-33746382	16.20	fp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr20:31712718-31712819	16.08	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr3:105792467-105792568	16.07	tp	0
1-RGWACANNNTGTWCY	STREME-1	1.2e-045	chr4:174520754-174520855	16.01	tp	0
